utc,latitude,longitude
2018-Jan-11 17:33:40Z,37.4216943312122,-122.11417504030189
2018-Jan-11 17:33:40Z,37.4216943312122,-122.11417504030189
2018-Jan-11 17:33:40Z,37.4216943312122,-122.11417504030189
2018-Jan-11 17:33:40Z,37.42169543523464,-122.11417475000704
2018-Jan-11 17:33:40Z,37.421695437704585,-122.11417475353733
2018-Jan-11 17:33:40Z,37.421695437704585,-122.11417475353733
2018-Jan-11 17:33:40Z,37.421695517432994,-122.11417474109037
2018-Jan-11 17:33:40Z,37.42169578843997,-122.11417468909298
2018-Jan-11 17:33:40Z,37.42169578843997,-122.11417468909298
2018-Jan-11 17:33:40Z,37.42169615485798,-122.11417459314511
2018-Jan-11 17:33:40Z,37.42169648745647,-122.11417447641857
2018-Jan-11 17:33:40Z,37.42169648745647,-122.11417447641857
2018-Jan-11 17:33:40Z,37.421697003797796,-122.11417431002592
2018-Jan-11 17:33:40Z,37.42169747400306,-122.11417417334762
2018-Jan-11 17:33:40Z,37.42169747400306,-122.11417417334762
2018-Jan-11 17:33:41Z,37.421698138114074,-122.11417398649266
2018-Jan-11 17:33:41Z,37.42169870728253,-122.11417383084002
2018-Jan-11 17:33:41Z,37.42169870728253,-122.11417383084002
2018-Jan-11 17:33:41Z,37.42169944046461,-122.1141736406607
2018-Jan-11 17:33:41Z,37.42170006450022,-122.11417348567178
2018-Jan-11 17:33:41Z,37.42170006450022,-122.11417348567178
2018-Jan-11 17:33:41Z,37.42170079335593,-122.11417331344643
2018-Jan-11 17:33:41Z,37.42170140484561,-122.11417317226433
2018-Jan-11 17:33:41Z,37.42170140484561,-122.11417317226433
2018-Jan-11 17:33:41Z,37.42170205503037,-122.11417304375527
2018-Jan-11 17:33:41Z,37.42170259807166,-122.11417294878314
2018-Jan-11 17:33:41Z,37.42170259807166,-122.11417294878314
2018-Jan-11 17:33:41Z,37.42170312880436,-122.11417285620408
2018-Jan-11 17:33:41Z,37.42170358428503,-122.11417276068651
2018-Jan-11 17:33:41Z,37.42170358428503,-122.11417276068651
2018-Jan-11 17:33:42Z,37.42170400731488,-122.11417268415217
2018-Jan-11 17:33:42Z,37.4217044015457,-122.11417261800719
2018-Jan-11 17:33:42Z,37.4217044015457,-122.11417261800719
2018-Jan-11 17:33:42Z,37.42170474020099,-122.1141725550515
2018-Jan-11 17:33:42Z,37.421705066863595,-122.11417247742746
2018-Jan-11 17:33:42Z,37.421705066863595,-122.11417247742746
2018-Jan-11 17:33:42Z,37.421705354731785,-122.11417241669663
2018-Jan-11 17:33:42Z,37.421705670894184,-122.11417236039863
2018-Jan-11 17:33:42Z,37.421705670894184,-122.11417236039863
2018-Jan-11 17:33:42Z,37.42170592271677,-122.11417232101034
2018-Jan-11 17:33:42Z,37.42170617852252,-122.11417227678284
2018-Jan-11 17:33:42Z,37.42170617852252,-122.11417227678284
2018-Jan-11 17:33:42Z,37.42170639190649,-122.11417222883495
2018-Jan-11 17:33:42Z,37.42170664381212,-122.11417216009482
2018-Jan-11 17:33:42Z,37.42170664381212,-122.11417216009482
2018-Jan-11 17:33:43Z,37.4217068657381,-122.11417210040071
2018-Jan-11 17:33:43Z,37.42170712198435,-122.11417204544455
2018-Jan-11 17:33:43Z,37.42170712198435,-122.11417204544455
2018-Jan-11 17:33:43Z,37.42170734209787,-122.11417199994231
2018-Jan-11 17:33:43Z,37.42170757687959,-122.11417195367417
2018-Jan-11 17:33:43Z,37.42170757687959,-122.11417195367417
2018-Jan-11 17:33:43Z,37.42170778187138,-122.114171915966
2018-Jan-11 17:33:43Z,37.42170800808342,-122.11417187491449
2018-Jan-11 17:33:43Z,37.42170800808342,-122.11417187491449
2018-Jan-11 17:33:43Z,37.42170821158844,-122.11417183982957
2018-Jan-11 17:33:43Z,37.42170843632511,-122.1141718001851
2018-Jan-11 17:33:43Z,37.42170843632511,-122.1141718001851
2018-Jan-11 17:33:43Z,37.421708645366834,-122.1141717459537
2018-Jan-11 17:33:43Z,37.42170887269762,-122.11417167442575
2018-Jan-11 17:33:43Z,37.42170887269762,-122.11417167442575
2018-Jan-11 17:33:44Z,37.421709089430486,-122.11417161890662
2018-Jan-11 17:33:44Z,37.42170931764877,-122.11417158693958
2018-Jan-11 17:33:44Z,37.42170931764877,-122.11417158693958
2018-Jan-11 17:33:44Z,37.421709523259366,-122.11417154246918
2018-Jan-11 17:33:44Z,37.42170972797595,-122.11417147585514
2018-Jan-11 17:33:44Z,37.42170972797595,-122.11417147585514
2018-Jan-11 17:33:44Z,37.42170991077042,-122.11417140787889
2018-Jan-11 17:33:44Z,37.421710102078386,-122.1141713481551
2018-Jan-11 17:33:44Z,37.421710102078386,-122.1141713481551
2018-Jan-11 17:33:44Z,37.421710290567525,-122.1141712894639
2018-Jan-11 17:33:44Z,37.421710505129674,-122.11417123539226
2018-Jan-11 17:33:44Z,37.421710505129674,-122.11417123539226
2018-Jan-11 17:33:44Z,37.42171072461461,-122.11417120003838
2018-Jan-11 17:33:44Z,37.42171095685516,-122.11417118029283
2018-Jan-11 17:33:44Z,37.42171095685516,-122.11417118029283
2018-Jan-11 17:33:45Z,37.42171118051054,-122.11417116569139
2018-Jan-11 17:33:45Z,37.42171139427475,-122.1141711371041
2018-Jan-11 17:33:45Z,37.42171139427475,-122.1141711371041
2018-Jan-11 17:33:45Z,37.42171158114522,-122.11417112519575
2018-Jan-11 17:33:45Z,37.42171175378145,-122.1141711188374
2018-Jan-11 17:33:45Z,37.42171175378145,-122.1141711188374
2018-Jan-11 17:33:45Z,37.421711897058465,-122.11417111307404
2018-Jan-11 17:33:45Z,37.42171204487233,-122.11417108946362
2018-Jan-11 17:33:45Z,37.42171204487233,-122.11417108946362
2018-Jan-11 17:33:45Z,37.42171214926699,-122.11417104497302
2018-Jan-11 17:33:45Z,37.42171225375284,-122.11417097935511
2018-Jan-11 17:33:45Z,37.42171225375284,-122.11417097935511
2018-Jan-11 17:33:45Z,37.421712303969166,-122.11417089360496
2018-Jan-11 17:33:45Z,37.421712404838246,-122.1141708277359
2018-Jan-11 17:33:45Z,37.421712404838246,-122.1141708277359
2018-Jan-11 17:33:46Z,37.42171248980231,-122.11417072897514
2018-Jan-11 17:33:46Z,37.4217126001473,-122.1141706352324
2018-Jan-11 17:33:46Z,37.4217126001473,-122.1141706352324
2018-Jan-11 17:33:46Z,37.42171265406183,-122.11417051249614
2018-Jan-11 17:33:46Z,37.42171271624885,-122.11417040270751
2018-Jan-11 17:33:46Z,37.42171271624885,-122.11417040270751
2018-Jan-11 17:33:46Z,37.42171275422253,-122.11417029527924
2018-Jan-11 17:33:46Z,37.421712819287016,-122.11417020790802
2018-Jan-11 17:33:46Z,37.421712819287016,-122.11417020790802
2018-Jan-11 17:33:46Z,37.421712844933374,-122.1141701042974
2018-Jan-11 17:33:46Z,37.42171288641473,-122.11417000453274
2018-Jan-11 17:33:46Z,37.42171288641473,-122.11417000453274
2018-Jan-11 17:33:46Z,37.42171289544282,-122.11416986563464
2018-Jan-11 17:33:46Z,37.421712924932315,-122.11416972953243
2018-Jan-11 17:33:46Z,37.421712924932315,-122.11416972953243
2018-Jan-11 17:33:47Z,37.42171293064001,-122.11416958325658
2018-Jan-11 17:33:47Z,37.42171295655833,-122.11416945584712
2018-Jan-11 17:33:47Z,37.42171295655833,-122.11416945584712
2018-Jan-11 17:33:47Z,37.42171296702271,-122.11416932469085
2018-Jan-11 17:33:47Z,37.42171299482025,-122.11416920539841
2018-Jan-11 17:33:47Z,37.42171299482025,-122.11416920539841
2018-Jan-11 17:33:47Z,37.421713038306216,-122.11416908617878
2018-Jan-11 17:33:47Z,37.42171309956014,-122.11416897445957
2018-Jan-11 17:33:47Z,37.42171309956014,-122.11416897445957
2018-Jan-11 17:33:47Z,37.421713156541024,-122.11416889031236
2018-Jan-11 17:33:47Z,37.42171321249924,-122.11416881418404
2018-Jan-11 17:33:47Z,37.42171321249924,-122.11416881418404
2018-Jan-11 17:33:47Z,37.42171328932109,-122.11416874139367
2018-Jan-11 17:33:47Z,37.42171337217632,-122.11416865885911
2018-Jan-11 17:33:47Z,37.42171337217632,-122.11416865885911
2018-Jan-11 17:33:48Z,37.421713475067925,-122.11416857624232
2018-Jan-11 17:33:48Z,37.421713574350896,-122.11416848824948
2018-Jan-11 17:33:48Z,37.421713574350896,-122.11416848824948
2018-Jan-11 17:33:48Z,37.42171369102077,-122.11416842219164
2018-Jan-11 17:33:48Z,37.42171379918528,-122.11416835836404
2018-Jan-11 17:33:48Z,37.42171379918528,-122.11416835836404
2018-Jan-11 17:33:48Z,37.42171389469189,-122.11416831591389
2018-Jan-11 17:33:48Z,37.421713976210164,-122.11416826701841
2018-Jan-11 17:33:48Z,37.421713976210164,-122.11416826701841
2018-Jan-11 17:33:48Z,37.42171409176618,-122.11416823582803
2018-Jan-11 17:33:48Z,37.421714214164915,-122.11416819476267
2018-Jan-11 17:33:48Z,37.421714214164915,-122.11416819476267
2018-Jan-11 17:33:48Z,37.42171434485569,-122.11416816764984
2018-Jan-11 17:33:48Z,37.421714462878796,-122.11416813035865
2018-Jan-11 17:33:48Z,37.421714462878796,-122.11416813035865
2018-Jan-11 17:33:49Z,37.42171455926151,-122.11416810221023
2018-Jan-11 17:33:49Z,37.42171464250757,-122.11416806489882
2018-Jan-11 17:33:49Z,37.42171464250757,-122.11416806489882
2018-Jan-11 17:33:49Z,37.42171472690005,-122.11416803310841
2018-Jan-11 17:33:49Z,37.42171481733569,-122.11416799377304
2018-Jan-11 17:33:49Z,37.42171481733569,-122.11416799377304
2018-Jan-11 17:33:49Z,37.4217149091441,-122.11416795719312
2018-Jan-11 17:33:49Z,37.421715003553146,-122.11416791615272
2018-Jan-11 17:33:49Z,37.421715003553146,-122.11416791615272
2018-Jan-11 17:33:49Z,37.42171507719301,-122.11416787631576
2018-Jan-11 17:33:49Z,37.42171514583518,-122.11416783298172
2018-Jan-11 17:33:49Z,37.42171514583518,-122.11416783298172
2018-Jan-11 17:33:49Z,37.42171519281091,-122.1141677887645
2018-Jan-11 17:33:49Z,37.42171524678405,-122.11416774265145
2018-Jan-11 17:33:49Z,37.42171524678405,-122.11416774265145
2018-Jan-11 17:33:50Z,37.42171530586237,-122.11416769524259
2018-Jan-11 17:33:50Z,37.42171537882481,-122.11416764727008
2018-Jan-11 17:33:50Z,37.42171537882481,-122.11416764727008
2018-Jan-11 17:33:50Z,37.421715436027156,-122.11416759739028
2018-Jan-11 17:33:50Z,37.42171549365453,-122.11416754784487
2018-Jan-11 17:33:50Z,37.42171549365453,-122.11416754784487
2018-Jan-11 17:33:50Z,37.42171553713887,-122.11416749757
2018-Jan-11 17:33:50Z,37.42171558433281,-122.11416744809335
2018-Jan-11 17:33:50Z,37.42171558433281,-122.11416744809335
2018-Jan-11 17:33:50Z,37.421715594344484,-122.11416742205182
2018-Jan-11 17:33:50Z,37.42171560923172,-122.11416740117059
2018-Jan-11 17:33:50Z,37.42171560923172,-122.11416740117059
2018-Jan-11 17:33:50Z,37.42171564381173,-122.11416737831125
2018-Jan-11 17:33:50Z,37.42171570171268,-122.11416734338985
2018-Jan-11 17:33:50Z,37.42171570171268,-122.11416734338985
2018-Jan-11 17:33:51Z,37.4217157554839,-122.11416730235216
2018-Jan-11 17:33:51Z,37.42171580980717,-122.11416726067667
2018-Jan-11 17:33:51Z,37.42171580980717,-122.11416726067667
2018-Jan-11 17:33:51Z,37.42171589233671,-122.11416724577892
2018-Jan-11 17:33:51Z,37.421715973960836,-122.11416722949234
2018-Jan-11 17:33:51Z,37.421715973960836,-122.11416722949234
2018-Jan-11 17:33:51Z,37.42171608228004,-122.11416723713707
2018-Jan-11 17:33:51Z,37.42171618225022,-122.1141672360388
2018-Jan-11 17:33:51Z,37.42171618225022,-122.1141672360388
2018-Jan-11 17:33:51Z,37.42171630286581,-122.11416725340543
2018-Jan-11 17:33:51Z,37.42171641282324,-122.11416725984132
2018-Jan-11 17:33:51Z,37.42171641282324,-122.11416725984132
2018-Jan-11 17:33:51Z,37.42171650440367,-122.11416728028567
2018-Jan-11 17:33:51Z,37.42171658813989,-122.11416728989771
2018-Jan-11 17:33:51Z,37.42171658813989,-122.11416728989771
2018-Jan-11 17:33:52Z,37.42171671617955,-122.11416730873071
2018-Jan-11 17:33:52Z,37.42171684048682,-122.11416731800767
2018-Jan-11 17:33:52Z,37.42171684048682,-122.11416731800767
2018-Jan-11 17:33:52Z,37.42171697186154,-122.11416733297351
2018-Jan-11 17:33:52Z,37.42171709200163,-122.11416734082185
2018-Jan-11 17:33:52Z,37.42171709200163,-122.11416734082185
2018-Jan-11 17:33:52Z,37.42171724698716,-122.11416738529053
2018-Jan-11 17:33:52Z,37.42171739236161,-122.11416742175516
2018-Jan-11 17:33:52Z,37.42171739236161,-122.11416742175516
2018-Jan-11 17:33:52Z,37.42171753110016,-122.11416745687141
2018-Jan-11 17:33:52Z,37.42171765939712,-122.11416748089101
2018-Jan-11 17:33:52Z,37.42171765939712,-122.11416748089101
2018-Jan-11 17:33:52Z,37.421717781080964,-122.11416750041579
2018-Jan-11 17:33:52Z,37.421717898998224,-122.11416751368668
2018-Jan-11 17:33:52Z,37.421717898998224,-122.11416751368668
2018-Jan-11 17:33:53Z,37.42171803647472,-122.11416748917893
2018-Jan-11 17:33:53Z,37.421718173664615,-122.11416746443993
2018-Jan-11 17:33:53Z,37.421718173664615,-122.11416746443993
2018-Jan-11 17:33:53Z,37.421718267298516,-122.1141674367028
2018-Jan-11 17:33:53Z,37.42171835799307,-122.1141674183026
2018-Jan-11 17:33:53Z,37.42171835799307,-122.1141674183026
2018-Jan-11 17:33:53Z,37.42171843814997,-122.11416736738657
2018-Jan-11 17:33:53Z,37.42171853059348,-122.11416732472675
2018-Jan-11 17:33:53Z,37.42171853059348,-122.11416732472675
2018-Jan-11 17:33:53Z,37.421718613974704,-122.11416728856753
2018-Jan-11 17:33:53Z,37.421718704724626,-122.11416726119037
2018-Jan-11 17:33:53Z,37.421718704724626,-122.11416726119037
2018-Jan-11 17:33:53Z,37.421718758873645,-122.11416721201375
2018-Jan-11 17:33:53Z,37.421718821169776,-122.11416716708662
2018-Jan-11 17:33:53Z,37.421718821169776,-122.11416716708662
2018-Jan-11 17:33:54Z,37.42171888243347,-122.11416710402493
2018-Jan-11 17:33:54Z,37.42171895742331,-122.1141670492747
2018-Jan-11 17:33:54Z,37.42171895742331,-122.1141670492747
2018-Jan-11 17:33:54Z,37.421719035924085,-122.11416701218106
2018-Jan-11 17:33:54Z,37.421719121236634,-122.11416698280966
2018-Jan-11 17:33:54Z,37.421719121236634,-122.11416698280966
2018-Jan-11 17:33:54Z,37.42171921343913,-122.11416694053145
2018-Jan-11 17:33:54Z,37.42171930804033,-122.11416689891931
2018-Jan-11 17:33:54Z,37.42171930804033,-122.11416689891931
2018-Jan-11 17:33:54Z,37.421719437892456,-122.11416687857542
2018-Jan-11 17:33:54Z,37.421719566127535,-122.11416685940664
2018-Jan-11 17:33:54Z,37.421719566127535,-122.11416685940664
2018-Jan-11 17:33:54Z,37.42171972813491,-122.11416689146607
2018-Jan-11 17:33:54Z,37.42171987913401,-122.11416691681114
2018-Jan-11 17:33:54Z,37.42171987913401,-122.11416691681114
2018-Jan-11 17:33:55Z,37.42172008811386,-122.11416695720096
2018-Jan-11 17:33:55Z,37.42172028119683,-122.1141669802666
2018-Jan-11 17:33:55Z,37.42172028119683,-122.1141669802666
2018-Jan-11 17:33:55Z,37.42172045912877,-122.11416701115225
2018-Jan-11 17:33:55Z,37.421720615568496,-122.11416702960571
2018-Jan-11 17:33:55Z,37.421720615568496,-122.11416702960571
2018-Jan-11 17:33:55Z,37.421720815870366,-122.11416708458378
2018-Jan-11 17:33:55Z,37.42172100558735,-122.11416712794409
2018-Jan-11 17:33:55Z,37.42172100558735,-122.11416712794409
2018-Jan-11 17:33:55Z,37.42172116486057,-122.11416720145382
2018-Jan-11 17:33:55Z,37.4217213133421,-122.11416725983932
2018-Jan-11 17:33:55Z,37.4217213133421,-122.11416725983932
2018-Jan-11 17:33:55Z,37.4217214611413,-122.11416734086633
2018-Jan-11 17:33:55Z,37.421721610345855,-122.1141674061421
2018-Jan-11 17:33:55Z,37.421721610345855,-122.1141674061421
2018-Jan-11 17:33:56Z,37.421721756941636,-122.11416748501375
2018-Jan-11 17:33:56Z,37.421721904758755,-122.11416755159273
2018-Jan-11 17:33:56Z,37.421721904758755,-122.11416755159273
2018-Jan-11 17:33:56Z,37.42172202096452,-122.11416762703473
2018-Jan-11 17:33:56Z,37.42172214043369,-122.11416769167002
2018-Jan-11 17:33:56Z,37.42172214043369,-122.11416769167002
2018-Jan-11 17:33:56Z,37.42172229364421,-122.11416776094647
2018-Jan-11 17:33:56Z,37.42172245517283,-122.11416782225592
2018-Jan-11 17:33:56Z,37.42172245517283,-122.11416782225592
2018-Jan-11 17:33:56Z,37.42172265008455,-122.11416791669545
2018-Jan-11 17:33:56Z,37.42172283874304,-122.1141680053544
2018-Jan-11 17:33:56Z,37.42172283874304,-122.1141680053544
2018-Jan-11 17:33:56Z,37.421723087077496,-122.11416812356477
2018-Jan-11 17:33:56Z,37.42172332128682,-122.11416822914404
2018-Jan-11 17:33:56Z,37.42172332128682,-122.11416822914404
2018-Jan-11 17:33:57Z,37.421723544061216,-122.11416832585763
2018-Jan-11 17:33:57Z,37.42172374541832,-122.11416840896861
2018-Jan-11 17:33:57Z,37.42172374541832,-122.11416840896861
2018-Jan-11 17:33:57Z,37.421723959135306,-122.11416847933658
2018-Jan-11 17:33:57Z,37.421724165172556,-122.11416854600593
2018-Jan-11 17:33:57Z,37.421724165172556,-122.11416854600593
2018-Jan-11 17:33:57Z,37.421724380618954,-122.1141685996747
2018-Jan-11 17:33:57Z,37.42172458903699,-122.11416865567556
2018-Jan-11 17:33:57Z,37.42172458903699,-122.11416865567556
2018-Jan-11 17:33:57Z,37.42172480342164,-122.11416873086539
2018-Jan-11 17:33:57Z,37.42172501184293,-122.11416880943834
2018-Jan-11 17:33:57Z,37.42172501184293,-122.11416880943834
2018-Jan-11 17:33:57Z,37.42172512933842,-122.114168844771
2018-Jan-11 17:33:57Z,37.421725246358406,-122.11416887892044
2018-Jan-11 17:33:57Z,37.421725246358406,-122.11416887892044
2018-Jan-11 17:33:58Z,37.42172534022517,-122.11416893516399
2018-Jan-11 17:33:58Z,37.4217254585414,-122.1141690015495
2018-Jan-11 17:33:58Z,37.4217254585414,-122.1141690015495
2018-Jan-11 17:33:58Z,37.42172550108613,-122.11416906027611
2018-Jan-11 17:33:58Z,37.421725564823426,-122.11416911839595
2018-Jan-11 17:33:58Z,37.421725564823426,-122.11416911839595
2018-Jan-11 17:33:58Z,37.421725596525974,-122.1141692004181
2018-Jan-11 17:33:58Z,37.42172565920479,-122.11416928370032
2018-Jan-11 17:33:58Z,37.42172565920479,-122.11416928370032
2018-Jan-11 17:33:58Z,37.42172573335436,-122.11416938932545
2018-Jan-11 17:33:58Z,37.421725830152326,-122.11416948827267
2018-Jan-11 17:33:58Z,37.421725830152326,-122.11416948827267
2018-Jan-11 17:33:58Z,37.421725914378705,-122.11416960547442
2018-Jan-11 17:33:58Z,37.421726007007855,-122.11416971346598
2018-Jan-11 17:33:58Z,37.421726007007855,-122.11416971346598
2018-Jan-11 17:33:59Z,37.421726122425454,-122.1141698657914
2018-Jan-11 17:33:59Z,37.42172624455875,-122.1141700074618
2018-Jan-11 17:33:59Z,37.42172624455875,-122.1141700074618
2018-Jan-11 17:33:59Z,37.421726357048406,-122.11417012180698
2018-Jan-11 17:33:59Z,37.42172646743411,-122.11417022104847
2018-Jan-11 17:33:59Z,37.42172646743411,-122.11417022104847
2018-Jan-11 17:33:59Z,37.42172657081425,-122.11417032387364
2018-Jan-11 17:33:59Z,37.42172667643838,-122.11417042690546
2018-Jan-11 17:33:59Z,37.42172667643838,-122.11417042690546
2018-Jan-11 17:33:59Z,37.42172680573358,-122.11417053101128
2018-Jan-11 17:33:59Z,37.42172693749424,-122.1141706347854
2018-Jan-11 17:33:59Z,37.42172693749424,-122.1141706347854
2018-Jan-11 17:33:59Z,37.42172705991089,-122.11417073887101
2018-Jan-11 17:33:59Z,37.42172717827923,-122.11417084263971
2018-Jan-11 17:33:59Z,37.42172717827923,-122.11417084263971
2018-Jan-11 17:34:00Z,37.4217273164527,-122.11417094611787
2018-Jan-11 17:34:00Z,37.42172745457081,-122.11417105043876
2018-Jan-11 17:34:00Z,37.42172745457081,-122.11417105043876
2018-Jan-11 17:34:00Z,37.42172761055946,-122.11417115387239
2018-Jan-11 17:34:00Z,37.421727760978825,-122.11417125837664
2018-Jan-11 17:34:00Z,37.421727760978825,-122.11417125837664
2018-Jan-11 17:34:00Z,37.4217279256764,-122.11417136071306
2018-Jan-11 17:34:00Z,37.421728082726794,-122.11417146458054
2018-Jan-11 17:34:00Z,37.421728082726794,-122.11417146458054
2018-Jan-11 17:34:00Z,37.42172824652546,-122.1141715644514
2018-Jan-11 17:34:00Z,37.42172840422072,-122.11417166638327
2018-Jan-11 17:34:00Z,37.42172840422072,-122.11417166638327
2018-Jan-11 17:34:00Z,37.42172860224603,-122.11417176676414
2018-Jan-11 17:34:00Z,37.42172879288796,-122.11417187019677
2018-Jan-11 17:34:00Z,37.42172879288796,-122.11417187019677
2018-Jan-11 17:34:01Z,37.42172898493362,-122.1141720013642
2018-Jan-11 17:34:01Z,37.4217291638703,-122.11417213358202
2018-Jan-11 17:34:01Z,37.4217291638703,-122.11417213358202
2018-Jan-11 17:34:01Z,37.42172936940273,-122.11417222864364
2018-Jan-11 17:34:01Z,37.421729567890516,-122.1141723190056
2018-Jan-11 17:34:01Z,37.421729567890516,-122.1141723190056
2018-Jan-11 17:34:01Z,37.42172978807894,-122.11417243429874
2018-Jan-11 17:34:01Z,37.42172999775088,-122.11417255583895
2018-Jan-11 17:34:01Z,37.42172999775088,-122.11417255583895
2018-Jan-11 17:34:01Z,37.42173016042592,-122.11417267116528
2018-Jan-11 17:34:01Z,37.42173031544076,-122.11417278395847
2018-Jan-11 17:34:01Z,37.42173031544076,-122.11417278395847
2018-Jan-11 17:34:01Z,37.42173045361749,-122.11417288943964
2018-Jan-11 17:34:01Z,37.421730601437865,-122.11417299634893
2018-Jan-11 17:34:01Z,37.421730601437865,-122.11417299634893
2018-Jan-11 17:34:02Z,37.42173073549789,-122.11417309604313
2018-Jan-11 17:34:02Z,37.42173087971289,-122.11417319873112
2018-Jan-11 17:34:02Z,37.42173087971289,-122.11417319873112
2018-Jan-11 17:34:02Z,37.42173104476546,-122.1141733261559
2018-Jan-11 17:34:02Z,37.421731218136124,-122.11417345614973
2018-Jan-11 17:34:02Z,37.421731218136124,-122.11417345614973
2018-Jan-11 17:34:02Z,37.42173135016059,-122.11417354676234
2018-Jan-11 17:34:02Z,37.42173148334451,-122.1141736341017
2018-Jan-11 17:34:02Z,37.42173148334451,-122.1141736341017
2018-Jan-11 17:34:02Z,37.42173163904981,-122.1141737451773
2018-Jan-11 17:34:02Z,37.42173180545073,-122.11417386364334
2018-Jan-11 17:34:02Z,37.42173180545073,-122.11417386364334
2018-Jan-11 17:34:02Z,37.42173193323473,-122.11417394416844
2018-Jan-11 17:34:02Z,37.421732062640665,-122.11417402425816
2018-Jan-11 17:34:02Z,37.421732062640665,-122.11417402425816
2018-Jan-11 17:34:03Z,37.421732186750894,-122.11417410001249
2018-Jan-11 17:34:03Z,37.42173232251101,-122.11417418591935
2018-Jan-11 17:34:03Z,37.42173232251101,-122.11417418591935
2018-Jan-11 17:34:03Z,37.42173242528537,-122.11417427110469
2018-Jan-11 17:34:03Z,37.42173253667745,-122.11417436223857
2018-Jan-11 17:34:03Z,37.42173253667745,-122.11417436223857
2018-Jan-11 17:34:03Z,37.42173264943743,-122.11417445347607
2018-Jan-11 17:34:03Z,37.42173277518588,-122.11417454806345
2018-Jan-11 17:34:03Z,37.42173277518588,-122.11417454806345
